trade_date,branch,candidate_count,gate_pass_count,trigger_touch_count,entry_count,closed_trades,win_rate,realized_pnl_usd,realized_pnl_pct,avg_hold_min,no_trigger_count,invalid_risk_count,entry_window_closed_count,exit_reason_stop,exit_reason_target,exit_reason_time_exit
2026-01-30,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-02,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-02,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-02,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-03,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-03,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-03,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-04,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-04,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-04,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-05,continuation_compare,2,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-05,reclaim_first5_high,2,1,1,1,1,0.0,-53.78302771250003,-1.580075677339345,21.0,0,0,0,1.0,0.0,0.0
2026-02-05,reclaim_vwap,2,1,1,1,1,0.0,-54.677978224977856,-1.3549852091265884,21.0,0,0,0,1.0,0.0,0.0
2026-02-06,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-06,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-06,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-09,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-09,reclaim_first5_high,1,1,1,1,1,0.0,-51.71208924099996,-3.395028022539328,12.0,0,0,0,1.0,0.0,0.0
2026-02-09,reclaim_vwap,1,1,1,1,1,0.0,-52.08567558155382,-2.6066137227471646,12.0,0,0,0,1.0,0.0,0.0
2026-02-10,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-10,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-10,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-11,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-11,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-11,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-12,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-12,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-12,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-13,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-13,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-13,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-17,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-17,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-17,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-18,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-18,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-18,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-19,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-19,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-19,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-20,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-20,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-20,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-23,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-23,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-23,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-24,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-24,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-24,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-25,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-25,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-25,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-26,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-26,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-26,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-27,continuation_compare,2,0,0,0,0,,0.0,,,0,0,0,,,
2026-02-27,reclaim_first5_high,2,1,1,1,1,0.0,-51.18724400899987,-4.826162229377805,14.0,0,0,0,1.0,0.0,0.0
2026-02-27,reclaim_vwap,2,1,1,1,1,0.0,-51.79476010796036,-3.220677862976626,16.0,0,0,0,1.0,0.0,0.0
2026-03-02,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-02,reclaim_first5_high,1,1,1,1,1,1.0,101.90445154200016,3.8668323739520947,98.0,0,0,0,0.0,1.0,0.0
2026-03-02,reclaim_vwap,1,1,1,1,1,1.0,104.4595174956661,1.8097692826745388,0.0,0,0,0,0.0,1.0,0.0
2026-03-03,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-03,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-03,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-04,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-04,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-04,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-05,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-05,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-05,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-06,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-06,reclaim_first5_high,1,1,1,1,1,1.0,100.70386207650024,6.217364480350719,30.0,0,0,0,0.0,1.0,0.0
2026-03-06,reclaim_vwap,1,1,1,1,1,1.0,101.92225709054216,3.960222522891519,8.0,0,0,0,0.0,1.0,0.0
2026-03-09,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-09,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-09,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-10,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-10,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-10,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-11,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-11,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-11,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-12,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-12,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-12,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-13,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-13,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-13,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-16,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-16,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-16,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-17,continuation_compare,2,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-17,reclaim_first5_high,2,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-17,reclaim_vwap,2,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-18,continuation_compare,1,1,1,1,1,0.0,-42.98455846299956,-1.9986265973463941,355.0,0,0,0,0.0,0.0,1.0
2026-03-18,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-18,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-19,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-19,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-19,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-20,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-20,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-20,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-23,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-23,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-23,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-24,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-24,reclaim_first5_high,1,1,1,1,1,1.0,89.86440621600002,5.109651416952973,368.0,0,0,0,0.0,0.0,1.0
2026-03-24,reclaim_vwap,1,1,1,1,1,1.0,101.91091704164825,3.7708653867940414,37.0,0,0,0,0.0,1.0,0.0
2026-03-25,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-25,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-25,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-26,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-26,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-26,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-27,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-27,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-27,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-30,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-30,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-30,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-31,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-31,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-03-31,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-04-01,continuation_compare,3,2,0,0,0,,0.0,,,2,0,0,,,
2026-04-01,reclaim_first5_high,3,0,0,0,0,,0.0,,,0,0,0,,,
