trade_date,symbol,branch_label,regime_label,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,gross_trade_ret,trade_ret,MFE,MAE,sector,price_bucket,market_cap_bucket,calendar_year,quarter_label,avg_dollar_volume_20,liquidity_bucket,slippage_bps_per_side,fee_bps_round_trip,first5_range_pos,first5_pace,close_vs_vwap
2025-05-28,CPRI,continuation_compare,regime_a_open_above_prev_close,2025-05-28T09:35:00-04:00,19.044517499999998,17.635,21.86355249999999,2025-05-28T15:55:00-04:00,18.1059425,time_exit,-4.928321234707032,-4.948321234707032,2.0766212638361856,-5.878424066138704,Consumer Cyclical,10-20,2b_to_10b,2025,2025-Q2,2357222.525,low,5.0,2.0,0.9964285714285721,11.449450764093644,2.51092991036046
2025-06-16,APA,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-06-16T09:35:00-04:00,20.62136571278882,20.44,20.984097138366455,2025-06-16T09:59:00-04:00,20.42978,stop,-0.9290641340500632,-0.9490641340500632,1.4481789973104338,-2.3343056880577424,Energy,20-40,gt_10b,2025,2025-Q2,5609514.8610000005,mid,5.0,2.0,0.9444444444444422,2.5812002532815823,1.6722210723755015
2025-07-01,CIFR,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-07-01T09:35:00-04:00,4.64232,4.58,4.766959999999999,2025-07-01T09:47:00-04:00,4.766835389999998,target,2.6821802460838167,2.6621802460838166,7.489358768891425,-0.2653845491047555,Technology,03-10,2b_to_10b,2025,2025-Q3,3120556.8062500004,low,5.0,2.0,0.8333333333333358,2.150037546684702,0.7464652143707173
2025-07-01,CIFR,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-07-01T09:35:00-04:00,4.609986217497291,4.58,4.669958652491874,2025-07-01T09:37:00-04:00,4.669898693898067,target,1.2996237640229054,1.2796237640229053,8.24327372303976,0.4341397470288689,Technology,03-10,2b_to_10b,2025,2025-Q3,3120556.8062500004,low,5.0,2.0,0.8333333333333358,2.150037546684702,0.7464652143707173
2025-07-03,CIFR,continuation_compare,regime_a_open_above_prev_close,2025-07-03T09:35:00-04:00,6.153075,5.77,6.919225000000002,2025-07-03T12:59:00-04:00,6.036980000000001,time_exit,-1.8867801871421948,-1.9067801871421948,4.82563596250655,-3.9504637924939994,Technology,03-10,2b_to_10b,2025,2025-Q3,4301930.505,low,5.0,2.0,0.973684210526314,16.444058107814552,1.307090108046105
2025-07-03,CLSK,continuation_compare,regime_a_open_above_prev_close,2025-07-03T09:35:00-04:00,12.7213575,12.48,13.204072499999999,2025-07-03T09:55:00-04:00,12.47376,stop,-1.946313512531972,-1.966313512531972,1.8759200816422381,-4.412716960434448,Financial Services,10-20,2b_to_10b,2025,2025-Q3,8129542.16,mid,5.0,2.0,0.9361702127659549,3.7876053797351856,0.6274273481414738
2025-07-16,BTCS,continuation_compare,regime_a_open_above_prev_close,2025-07-16T09:35:00-04:00,5.9879925,5.53,6.903977499999999,2025-07-16T11:24:00-04:00,5.527235,stop,-7.69469066636272,-7.71469066636272,8.216568407525571,-10.988532467266781,Financial Services,03-10,50m_to_300m,2025,2025-Q3,767079.23,micro,5.0,2.0,1.0,14.161732367593892,2.988183441982506
2025-07-18,ASPI,continuation_compare,regime_a_open_above_prev_close,2025-07-18T09:35:00-04:00,10.34517,10.11,10.81551,2025-07-18T09:38:00-04:00,10.104945,stop,-2.322098138551602,-2.342098138551602,3.284914602659995,-2.853215558565,Basic Materials,10-20,300m_to_2b,2025,2025-Q3,1176940.77,micro,5.0,2.0,1.0,21.18591119925262,0.67360839119468
2025-07-21,CRSP,continuation_compare,regime_a_open_above_prev_close,2025-07-21T09:35:00-04:00,68.95446,66.695,73.47338,2025-07-21T11:38:00-04:00,66.6616525,stop,-3.325103988922537,-3.345103988922537,3.111531871905018,-5.821900425295187,Healthcare,40+,2b_to_10b,2025,2025-Q3,6720084.21,mid,5.0,2.0,0.9460674157303353,18.727175325084207,1.4960903594079644
2025-07-21,ASPI,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-07-21T09:50:00-04:00,9.954975,9.11,11.644924999999999,2025-07-21T15:55:00-04:00,9.9100425,time_exit,-0.45135723595488514,-0.47135723595488516,5.173543881325683,-1.7576638816270247,Basic Materials,03-10,300m_to_2b,2025,2025-Q3,1455414.5902500001,micro,5.0,2.0,0.5476190476190488,4.479417812405017,1.502795254709266
2025-07-21,ASPI,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-07-21T09:35:00-04:00,9.44496868524333,9.11,10.11490605572999,2025-07-21T10:04:00-04:00,10.114236283483784,target,7.085969477973042,7.065969477973042,10.852670336092945,0.5826521674195719,Basic Materials,03-10,300m_to_2b,2025,2025-Q3,1455414.5902500001,micro,5.0,2.0,0.5476190476190488,4.479417812405017,1.502795254709266
