trade_date,branch,symbol,candidate_count,entry_count,closed_trades,win_rate,realized_pnl_usd,realized_pnl_pct,avg_hold_min,gate_pass,trigger_touched,gate_fail_reason,skip_reason,entry_price,stop_price,target_price,exit_price,exit_reason,qty,risk_per_share,mfe_pct,mae_pct,slippage_bps_per_side,fee_bps_round_trip,effective_stop_price
2026-04-01,reclaim_vwap,ALKS,1,0,0,,,,,0,0,regime_fail,not_regime_b,,,,,,,,,,,,
2026-04-01,reclaim_vwap,AMPX,1,0,0,,,,,0,0,regime_fail,not_regime_b,,,,,,,,,,,,
2026-04-01,reclaim_vwap,CMPX,1,0,0,,,,,0,0,regime_fail|pace_fail,not_regime_b,,,,,,,,,,,,
2026-04-02,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-02,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-02,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-06,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-06,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-06,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-07,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-07,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-07,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-08,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-08,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-08,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-09,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-09,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-09,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-10,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-10,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-10,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-13,continuation_compare,ASST,1,0,0,,,,,0,0,regime_fail|vwap_fail|range_fail|pace_fail,gate_fail,,,,,,,,,,,,
2026-04-13,reclaim_first5_high,ASST,1,0,0,,,,,0,0,vwap_fail|range_fail,gate_fail,,,,,,,,,,,,
2026-04-13,reclaim_vwap,ASST,1,0,0,,,,,0,0,vwap_fail|range_fail,gate_fail,,,,,,,,,,,,
2026-04-14,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-14,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-14,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-15,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-15,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-15,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-16,continuation_compare,ANNX,1,0,0,,,,,0,0,regime_fail|range_fail|pace_fail,gate_fail,,,,,,,,,,,,
2026-04-16,reclaim_first5_high,ANNX,1,0,0,,,,,0,0,range_fail|pace_fail,gate_fail,,,,,,,,,,,,
2026-04-16,reclaim_vwap,ANNX,1,0,0,,,,,0,0,range_fail|pace_fail,gate_fail,,,,,,,,,,,,
2026-04-17,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-17,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-04-17,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
