symbol,trade_date,open_D,close_D-1,open_gap_vs_prev_close,first5_open,first5_high,first5_low,first5_close,first5_volume,first5_oc_ret,first5_range_pos,close_vs_vwap,day_oc_ret,intraday_high_ret_from_open,intraday_low_ret_from_open,regime_label,continuation_pass,reclaim_prev_close,reclaim_vwap,reclaim_first5_high,reclaim_branch_candidate,open_to_close_win
CGNX,2026-02-13,59.025,58.76,0.4509870660313148,59.025,59.105,57.805,57.85,3628.0,-1.9906819144430279,0.034615384615386005,-1.1891935205227355,-0.44896230410842963,0.8047437526471859,-4.862346463362978,regime_a_open_above_prev_close,False,True,True,True,False,False
ASTL,2026-02-17,4.74,4.815,-1.5576323987538978,4.74,4.74,4.63,4.63,652.0,-2.320675105485239,0.0,-1.2941661162591545,-1.898734177215187,0.0,-6.434599156118156,regime_b_open_at_or_below_prev_close,False,False,True,False,True,False
ARDX,2026-02-25,6.435,6.555,-1.8306636155606424,6.435,6.45,6.37,6.37,9754.0,-1.0101010101010024,0.0,-0.47034437243098637,1.8648018648018665,5.283605283605295,-1.0101010101010024,regime_b_open_at_or_below_prev_close,False,True,True,True,True,True
BFLY,2026-02-27,4.67,4.67,0.0,4.67,4.67,4.45,4.64,5616.0,-0.6423982869379069,0.8636363636363623,1.0532585866169342,-18.843683083511774,0.2141327623126293,-21.627408993576015,regime_b_open_at_or_below_prev_close,False,True,True,True,True,False
CHYM,2026-02-27,23.23,23.955,-3.026508035900638,23.23,23.23,22.75,22.75,2501.0,-2.066293585880329,0.0,-0.31804880544239467,-4.885923374946197,0.0,-9.083082221265602,regime_b_open_at_or_below_prev_close,False,False,True,False,True,False
ABR,2026-03-02,7.765,7.95,-2.327044025157239,7.765,7.91,7.76,7.91,4596.0,1.8673535093367735,1.0,1.337805227846145,10.62459755312299,11.204121056020606,-0.06439150032195613,regime_b_open_at_or_below_prev_close,False,True,True,True,True,True
BBY,2026-03-04,66.275,65.96,0.4775621588841904,66.275,67.285,66.275,66.53,2364.0,0.3847604677480127,0.25247524752475026,-0.4826099478146828,1.7125612976235245,3.1761599396454008,-0.7619766125990337,regime_a_open_above_prev_close,False,True,True,True,False,True
AMPX,2026-03-06,14.73,14.89,-1.0745466756212232,14.73,15.13,14.665,15.105,8065.0,2.545824847250509,0.9462365591397843,1.1641089036659613,10.86218601493549,17.311608961303467,-0.4412763068567636,regime_b_open_at_or_below_prev_close,False,True,True,True,True,True
DAWN,2026-03-09,21.195,21.2,-0.023584905660372666,21.195,21.24,21.195,21.22,5623.0,0.11795234725170359,0.5555555555555468,-0.0271129818733451,0.6841236140599177,0.9200283085633417,0.0,regime_b_open_at_or_below_prev_close,False,True,True,True,True,True
CE,2026-03-13,60.99,59.65,2.246437552388941,60.99,60.99,60.11,60.33,3255.0,-1.0821446138711324,0.24999999999999797,-0.2771431429733684,-5.295950155763246,0.0,-5.886210854238405,regime_a_open_above_prev_close,False,True,True,False,False,False
BRBR,2026-03-17,18.87,18.7,0.9090909090909183,18.87,18.93,18.785,18.785,1059.0,-0.45045045045045495,0.0,-0.5862137205144058,-1.8547959724430387,1.2718600953894987,-2.1727609962904086,regime_a_open_above_prev_close,False,True,True,True,False,False
BW,2026-03-17,12.93,11.715,10.371318822023046,12.93,13.07,12.87,12.96,7456.0,0.23201856148492758,0.4500000000000058,-0.5878121568969386,15.158546017014702,15.467904098994586,-0.928074245939669,regime_a_open_above_prev_close,False,True,True,True,False,True
BTSG,2026-03-18,42.9,42.08,1.9486692015209133,42.9,43.87,42.855,43.82,13819.0,2.1445221445221483,0.9507389162561605,0.5901535405856917,0.40792540792541787,4.032634032634042,-0.10489510489510886,regime_a_open_above_prev_close,True,True,True,True,False,True
CNH,2026-03-24,10.135,10.455,-3.060736489717841,10.135,10.22,9.93,10.19,25132.0,0.5426739023186948,0.8965517241379275,0.7971233735229344,6.068080907745439,6.610754810064133,-2.022693635915146,regime_b_open_at_or_below_prev_close,False,True,True,True,True,True
BBWI,2026-03-31,18.84,18.66,0.9646302250803843,18.84,18.87,18.62,18.69,3370.0,-0.7961783439490371,0.28000000000000114,-0.6571564439263988,-0.9554140127388521,1.857749469214445,-2.8397027600849265,regime_a_open_above_prev_close,False,True,True,True,False,False
ALKS,2026-04-01,35.81,35.38,1.215375918598077,35.81,36.395,35.305,36.395,9063.0,1.633621893325889,1.0,1.50181335067745,-2.136274783580007,1.633621893325889,-4.468025691147727,regime_a_open_above_prev_close,True,True,True,False,False,False
AMPX,2026-04-01,17.05,16.84,1.2470308788598625,17.05,17.31,16.75,17.23,19062.0,1.055718475073312,0.8571428571428599,1.5718720130110775,-8.768328445747805,1.524926686216997,-9.912023460410564,regime_a_open_above_prev_close,True,True,True,False,False,False
CMPX,2026-04-01,5.43,5.29,2.6465028355387465,5.43,5.445,5.43,5.44,608.0,0.18416206261511373,0.6666666666666864,0.06050485248916271,0.0,1.2891344383057144,-5.893186003683231,regime_a_open_above_prev_close,False,True,True,True,False,False
ASST,2026-04-13,10.43,10.63,-1.881467544684864,10.43,10.43,10.205,10.235,1605.0,-1.869606903163953,0.1333333333333307,-0.43155765340526786,11.217641418983701,11.409395973154359,-2.301054650047941,regime_b_open_at_or_below_prev_close,False,True,True,True,True,True
ANNX,2026-04-16,6.27,6.34,-1.1041009463722444,6.27,6.27,6.27,6.27,1301.0,0.0,,0.0,0.9569377990430702,1.834130781499206,-2.711323763955342,regime_b_open_at_or_below_prev_close,False,True,True,True,True,True
